Model,Sensitivity,Specificity,PPV (Precision),NPV,Accuracy,AUC
Voting Ensemble,0.6666666666666666,0.8561151079136691,0.7777777777777778,0.7727272727272727,0.7745901639344263,0.8365193559438164
Logistic Regression (GLM),0.580952380952381,0.8201438848920863,0.7093023255813954,0.7215189873417721,0.7172131147540983,0.8226104830421378
LightGBM,0.6952380952380952,0.8345323741007195,0.7604166666666666,0.7837837837837838,0.7745901639344263,0.8221308667351832
Paper GBM (Replication),0.6190476190476191,0.8561151079136691,0.7647058823529411,0.7484276729559748,0.7540983606557377,0.8191161356628982
XGBoost,0.6476190476190476,0.8345323741007195,0.7472527472527473,0.7581699346405228,0.7540983606557377,0.8130181569030489
Gradient Boosting (Default),0.6952380952380952,0.8273381294964028,0.7525773195876289,0.782312925170068,0.7704918032786885,0.8058239122987325
Random Forest (RF),0.5904761904761905,0.7769784172661871,0.6666666666666666,0.7152317880794702,0.6967213114754098,0.7792052072627611
Support Vector Machine (SVM),0.5523809523809524,0.7410071942446043,0.6170212765957447,0.6866666666666666,0.6598360655737705,0.7473107228502912
Naive Bayes (NB),0.9714285714285714,0.02158273381294964,0.42857142857142855,0.5,0.430327868852459,0.6978759849263446
K-Nearest Neighbors (KNN),0.37142857142857144,0.7985611510791367,0.582089552238806,0.6271186440677966,0.6147540983606558,0.6296676944158959
